"TD [um]","TH [um]","Freq [GHz]","1- mag( (S(FloquetPort1:1,FloquetPort1:1)) ) * mag( (S(FloquetPort1:1,FloquetPort1:1)) ) []"
160,475,50,0.806340130454844
160,475,50.5,0.808298784013131
160,475,51,0.810267937704875
160,475,51.5,0.812247212353486
160,475,52,0.814236220415547
160,475,52.5,0.816234565926845
160,475,53,0.818241844453593
160,475,53.5,0.820257643049135
160,475,54,0.822281540216378
160,475,54.5,0.82431310587622
160,475,55,0.826351901342265
160,475,55.5,0.828397479302065
160,475,56,0.830449383805191
160,475,56.5,0.832507150258397
160,475,57,0.834570305428156
160,475,57.5,0.836638367450844
160,475,58,0.838710845850858
160,475,58.5,0.840787241566935
160,475,59,0.842867046986952
160,475,59.5,0.844949745991486
160,475,60,0.847034814006392
160,475,60.5,0.849121718064688
160,475,61,0.851209916877987
160,475,61.5,0.85329886091776
160,475,62,0.85538799250666
160,475,62.5,0.857476745920172
160,475,63,0.859564547498827
160,475,63.5,0.861650815771196
160,475,64,0.863734961587915
160,475,64.5,0.865816388266927
160,475,65,0.867894491750158
160,475,65.5,0.869968660771818
160,475,66,0.872038277038497
160,475,66.5,0.874102715421228
160,475,67,0.876161344159655
160,475,67.5,0.878213525078461
160,475,68,0.880258613816144
160,475,68.5,0.882295960066266
160,475,69,0.884324907831242
160,475,69.5,0.886344795688729
160,475,70,0.88835495707067
160,475,70.5,0.890354720554985
160,475,71,0.892343410169942
160,475,71.5,0.894320345711142
160,475,72,0.896284843071099
160,475,72.5,0.898236214581319
160,475,73,0.900173769366786
160,475,73.5,0.902096813712722
160,475,74,0.904004651443467
160,475,74.5,0.905896584313293
160,475,75,0.907771912408951
160,475,75.5,0.909629934563683
160,475,76,0.911469948782468
160,475,76.5,0.913291252678164
160,475,77,0.915093143918238
160,475,77.5,0.916874920681718
160,475,78,0.918635882125976
160,475,78.5,0.920375328862911
160,475,79,0.922092563444105
160,475,79.5,0.923786890854436
160,475,80,0.925457619013665
160,475,80.5,0.927104059285438
160,475,81,0.928725526993144
160,475,81.5,0.930321341942016
160,475,82,0.931890828946857
160,475,82.5,0.933433318364741
160,475,83,0.934948146631994
160,475,83.5,0.936434656804763
160,475,84,0.937892199102436
160,475,84.5,0.939320131453161
160,475,85,0.940717820040697
160,475,85.5,0.942084639851793
160,475,86,0.94341997522329
160,475,86.5,0.944723220388122
160,475,87,0.945993780019356
160,475,87.5,0.947231069771427
160,475,88,0.948434516817712
160,475,88.5,0.94960356038353
160,475,89,0.950737652273726
160,475,89.5,0.951836257393923
160,475,90,0.952898854264562
160,475,90.5,0.953924935526839
160,475,91,0.954914008439648
160,475,91.5,0.95586559536664
160,475,92,0.956779234252544
160,475,92.5,0.957654479087847
160,475,93,0.958490900361008
160,475,93.5,0.959288085497351
160,475,94,0.960045639283807
160,475,94.5,0.960763184278721
160,475,95,0.961440361205907
160,475,95.5,0.962076829332229
160,475,96,0.962672266827942
160,475,96.5,0.963226371109108
160,475,97,0.96373885916141
160,475,97.5,0.964209467844707
160,475,98,0.964637954177749
160,475,98.5,0.965024095602465
160,475,99,0.965367690227292
160,475,99.5,0.965668557049066
160,475,100,0.965926536153012
160,475,100.5,0.966141488890444
160,475,101,0.966313298033792
160,475,101.5,0.96644186790866
160,475,102,0.966527124502643
160,475,102.5,0.966569015550661
160,475,103,0.966567510596676
160,475,103.5,0.966522601031624
160,475,104,0.966434300107529
160,475,104.5,0.966302642927735
160,475,105,0.966127686413314
160,475,105.5,0.965909509245695
160,475,106,0.965648211785661
160,475,106.5,0.965343915968864
160,475,107,0.964996765178092
160,475,107.5,0.964606924092548
160,475,108,0.964174578514448
160,475,108.5,0.963699935173315
160,475,109,0.963183221508339
160,475,109.5,0.96262468542929
160,475,110,0.962024595056422
160,475,110.5,0.961383238439932
160,475,111,0.960700923259519
160,475,111.5,0.959977976504645
160,475,112,0.959214744136131
160,475,112.5,0.958411590729753
160,475,113,0.957568899102541
160,475,113.5,0.95668706992249
160,475,114,0.955766521302444
160,475,114.5,0.954807688378924
160,475,115,0.953811022876685
160,475,115.5,0.952776992659823
160,475,116,0.951706081270259
160,475,116.5,0.950598787454435
160,475,117,0.949455624679089
160,475,117.5,0.948277120636958
160,475,118,0.94706381674329
160,475,118.5,0.945816267624034
160,475,119,0.944535040596586
160,475,119.5,0.943220715143968
160,475,120,0.941873882383316
160,475,120.5,0.94049514452954
160,475,121,0.939085114355034
160,475,121.5,0.937644414646275
160,475,122,0.936173677658166
160,475,122.5,0.934673544566953
160,475,123,0.933144664922536
160,475,123.5,0.931587696100969
160,475,124,0.930003302757949
160,475,124.5,0.928392156284047
160,475,125,0.926754934262434
160,475,125.5,0.92509231992983
160,475,126,0.923405001641368
160,475,126.5,0.921693672340066
160,475,127,0.919959029031551
160,475,127.5,0.918201772264665
160,475,128,0.91642260561856
160,475,128.5,0.914622235196856
160,475,129,0.9128013691294
160,475,129.5,0.910960717082165
160,475,130,0.909100989775764
160,475,130.5,0.907222898513049
160,475,131,0.905327154716227
160,475,131.5,0.903414469473897
160,475,132,0.901485553098395
160,475,132.5,0.899541114693774
160,475,133,0.897581861734762
160,475,133.5,0.895608499656959
160,475,134,0.893621731458576
160,475,134.5,0.891622257313903
160,475,135,0.889610774198754
160,475,135.5,0.887587975528044
160,475,136,0.885554550805664
160,475,136.5,0.883511185286778
160,475,137,0.881458559652644
160,475,137.5,0.879397349698043
160,475,138,0.877328226031369
160,475,138.5,0.87525185378741
160,475,139,0.873168892352828
160,475,139.5,0.871079995104338
160,475,140,0.868985809159542
160,475,140.5,0.866886975140375
160,475,141,0.86478412694908
160,475,141.5,0.862677891556646
160,475,142,0.86056888880358
160,475,142.5,0.858457731212905
160,475,143,0.856345023815246
